Symptom,Questions,,,,,,,,,,,,,,,
Muscle tension,Patient trembles.,Patient twitches.,Patient is feeling shaky.,Patient has muscle aches.,Patient has muscle soreness.,,,,,,,,,,,
Sleep disturbance ,Patient has difficulty falling or staying asleep.,Patient is restless.,Patient has unsatisfying sleep.,,,,,,,,,,,,,
Somatic response,Patient sweats.,Patient has nausea.,Patient has diarrhea.,Patient has exagerretad startle respons. ,Patient has irritable bowel syndrome.,Patient has headeches.,,,,,,,,,,
Autonomic hyperarousal,Patient has accelerated heart rate.,Patient has shortness of breath.,Patient has dizziness.,,,,,,,,,,,,,
Anxiety with substance,Patient develops anxiety during or soon after substance intoxication.,Patient develops anxiety or withdrawal or after exposure to a medication.,The substance is capable of producing anxiety. ,,,,,,,,,,,,,
Not delirium,The disturbance does not occur exclusively during the course of a delirium,,,,,,,,,,,,,,,
Intoxication ,Patient is intoxicated with alcohol.,Patient is intoxicated with caffeine.,Patient is intoxicated with cannabis.,Patient is intoxicated with phencyclidine.,Patient is intoxicated with hallucinogens.,Patient is intoxicated with inhalants.,Patient is intoxicated with stimulants.,Patient is intoxicated with heavy metals.,"Patient is intoxicated with toxins (e.g., organophosphate insecticide, nerve gases, carbon monoxide, carbon dioxide, volatile substances such as gasoline and paint).",Patient is intoxicated with stimulants.,,,,,,
Withdrawal,Patient is going trough withdrawal of alcohol.,Patient is going trough withdrawal of opioids.,Patient is going trough withdrawal of sedatives.,Patient is going trough withdrawal of hypnotics.,Patient is going trough withdrawal of anxiolytics.,Patient is going trough withdrawal of stimulants.,,,,,,,,,,
Medication,Patient used anesthetics.,Patient used analgenics.,Patient used sympathomimetics or other bronchodilators.,Patient used anticholinergics.,Patient used  insulin or thyroid preparations.,Patient used  oral contraceptives.,Patient used  antihistamines.,Patient used  antiparkinsonian medications.,Patient used corticosteroids.,Patient used antihypertensive or cardiovascular medications.,Patient used  anticonvulsants.,Patient used lithium carbonate.,Patient used antipsychotic medications.,Patient used  antidepressant medications.,Patient used  oral contraceptives.,Patient used  oral contraceptives.
Anxiety ,Patient is anxious. ,,,,,,,,,,,,,,,
Medical condition,"There is a clear temporal association between the onset, exacerbation, or remission of the medical condition and the anxiety symptoms",The presence of features that are atypical of a primary anxiety disorder.,There is evidence in the literature that a known physiological mechanism causes anxiety.,,,,,,,,,,,,,
No other anxiety ,Anxiety does not meet the full criteria for any of the disorders in the anxiety disorders diagnostic class,,,,,,,,,,,,,,,
Limited-symptom attacks,Patient has attacks that meet all other criteria but have fewer than four physical and/or cognitive symptoms. ,,,,,,,,,,,,,,,
Limited generalized anxiety,Generalized anxiety not occurring more days than not,,,,,,,,,,,,,,,
Mental disorder,Patient has a mental disorder.,,,,,,,,,,,,,,,
Lack of information,Patient is in a presentation in which there is insufficient information to make a more specific diagnosis,,,,,,,,,,,,,,,
